City: Highland, IN, X-Axis: 41.5499, Y-Axis: 87.4581
City: Crestwood, IL, X-Axis: 41.6452, Y-Axis: 87.7436
City: Palestine, IL, X-Axis: 39.0022, Y-Axis: 87.6121
City: Dixmoor, IL, X-Axis: 41.6308, Y-Axis: 87.6664
City: Palos Park, IL, X-Axis: 41.6657, Y-Axis: 87.8366
City: Medaryville, IN, X-Axis: 41.0803, Y-Axis: 86.8886
City: Robbins, IL, X-Axis: 41.6429, Y-Axis: 87.7081
City: Clay City, IN, X-Axis: 39.277, Y-Axis: 87.1121
City: Palos Heights, IL, X-Axis: 41.6653, Y-Axis: 87.7972
City: Delphi, IN, X-Axis: 40.5875, Y-Axis: 86.6716
City: Dolton, IL, X-Axis: 41.6275, Y-Axis: 87.5985
City: Riverdale, IL, X-Axis: 41.6407, Y-Axis: 87.6306
City: Calumet City, IL, X-Axis: 41.6142, Y-Axis: 87.5464
City: Alsip, IL, X-Axis: 41.6704, Y-Axis: 87.7322
City: Blue Island, IL, X-Axis: 41.6584, Y-Axis: 87.6794
City: Worth, IL, X-Axis: 41.6888, Y-Axis: 87.7927
City: Buffalo, IN, X-Axis: 40.8855, Y-Axis: 86.7409
City: Palos Hills, IL, X-Axis: 41.6993, Y-Axis: 87.8263
City: Calumet Park, IL, X-Axis: 41.6656, Y-Axis: 87.6581
City: Hammond, IN, X-Axis: 41.6112, Y-Axis: 87.4931
City: Jasonville, IN, X-Axis: 39.1615, Y-Axis: 87.201
City: Burnham, IL, X-Axis: 41.6355, Y-Axis: 87.5513
City: Merrionette Park, IL, X-Axis: 41.6822, Y-Axis: 87.6989
City: Kouts, IN, X-Axis: 41.3154, Y-Axis: 87.0275
City: Chicago Ridge, IL, X-Axis: 41.7025, Y-Axis: 87.7787
City: Fillmore, IN, X-Axis: 39.6719, Y-Axis: 86.7537
City: Thorntown, IN, X-Axis: 40.1288, Y-Axis: 86.6088
City: Rossville, IN, X-Axis: 40.4191, Y-Axis: 86.5965
City: Hickory Hills, IL, X-Axis: 41.7238, Y-Axis: 87.8271
City: Oak Lawn, IL, X-Axis: 41.7151, Y-Axis: 87.7534
City: Hobart, IN, X-Axis: 41.5287, Y-Axis: 87.2674
City: Advance, IN, X-Axis: 39.9966, Y-Axis: 86.6193
City: Willow Springs, IL, X-Axis: 41.7376, Y-Axis: 87.8778
City: San Pierre, IN, X-Axis: 41.1993, Y-Axis: 86.8929
City: Darien, IL, X-Axis: 41.7456, Y-Axis: 87.9811
City: Gary, IN, X-Axis: 41.5808, Y-Axis: 87.3454
City: East Chicago, IN, X-Axis: 41.6389, Y-Axis: 87.4621
City: Jamestown, IN, X-Axis: 39.9262, Y-Axis: 86.6275
City: North Salem, IN, X-Axis: 39.8594, Y-Axis: 86.6457
City: Flat Rock, IL, X-Axis: 38.9022, Y-Axis: 87.6724
City: Evergreen Park, IL, X-Axis: 41.7199, Y-Axis: 87.7025
City: Burr Ridge, IL, X-Axis: 41.753, Y-Axis: 87.92
City: Bridgeview, IL, X-Axis: 41.7424, Y-Axis: 87.8068
City: Justice, IL, X-Axis: 41.7464, Y-Axis: 87.8344
City: Dugger, IN, X-Axis: 39.0709, Y-Axis: 87.2601
City: Hometown, IL, X-Axis: 41.7305, Y-Axis: 87.732
City: Cloverdale, IN, X-Axis: 39.5153, Y-Axis: 86.8026
City: New Chicago, IN, X-Axis: 41.5579, Y-Axis: 87.2738
City: Burbank, IL, X-Axis: 41.7441, Y-Axis: 87.7702
City: Willowbrook, IL, X-Axis: 41.7672, Y-Axis: 87.9493
City: Hodgkins, IL, X-Axis: 41.7642, Y-Axis: 87.8594
City: Indian Head Park, IL, X-Axis: 41.7685, Y-Axis: 87.8976
City: Whiting, IN, X-Axis: 41.676, Y-Axis: 87.4905
City: Lake Station, IN, X-Axis: 41.5698, Y-Axis: 87.2598
City: Countryside, IL, X-Axis: 41.7789, Y-Axis: 87.874
City: Bedford Park, IL, X-Axis: 41.7685, Y-Axis: 87.7858
City: Carlisle, IN, X-Axis: 38.9622, Y-Axis: 87.4007
City: Downers Grove, IL, X-Axis: 41.7907, Y-Axis: 88.0149
City: Coatesville, IN, X-Axis: 39.6874, Y-Axis: 86.6692
City: Westmont, IL, X-Axis: 41.7945, Y-Axis: 87.9764
City: Clarendon Hills, IL, X-Axis: 41.796, Y-Axis: 87.956
City: Summit, IL, X-Axis: 41.7885, Y-Axis: 87.8139
City: Hinsdale, IL, X-Axis: 41.8006, Y-Axis: 87.9283
City: Burnettsville, IN, X-Axis: 40.7609, Y-Axis: 86.5943
City: Western Springs, IL, X-Axis: 41.8055, Y-Axis: 87.901
City: McCook, IL, X-Axis: 41.7985, Y-Axis: 87.8324
City: La Grange, IL, X-Axis: 41.8079, Y-Axis: 87.8735
City: Frankfort, IN, X-Axis: 40.2822, Y-Axis: 86.5115
City: Birds, IL, X-Axis: 38.8366, Y-Axis: 87.6685
City: Camden, IN, X-Axis: 40.6092, Y-Axis: 86.5387
City: Valparaiso, IN, X-Axis: 41.4762, Y-Axis: 87.0569
City: Flora, IN, X-Axis: 40.5458, Y-Axis: 86.5234
City: La Crosse, IN, X-Axis: 41.3179, Y-Axis: 86.8898
City: Forest View, IL, X-Axis: 41.8074, Y-Axis: 87.7861
