City: Marquette Heights, IL, X-Axis: 40.6172, Y-Axis: 89.6038
City: Creve Coeur, IL, X-Axis: 40.6438, Y-Axis: 89.5991
City: Peoria Heights, IL, X-Axis: 40.745, Y-Axis: 89.5752
City: Glendale Heights, IL, X-Axis: 41.9202, Y-Axis: 88.0789
City: Nokomis, IL, X-Axis: 39.3004, Y-Axis: 89.2854
City: Hennepin, IL, X-Axis: 41.2567, Y-Axis: 89.3299
City: Rochester, IL, X-Axis: 39.7506, Y-Axis: 89.5416
City: Carol Stream, IL, X-Axis: 41.922, Y-Axis: 88.1408
City: Noble, IL, X-Axis: 38.6984, Y-Axis: 88.2223
City: Clear Lake, IL, X-Axis: 39.8142, Y-Axis: 89.567
City: Palmer, IL, X-Axis: 39.4576, Y-Axis: 89.4062
City: Green Valley, IL, X-Axis: 40.4085, Y-Axis: 89.6441
City: North Pekin, IL, X-Axis: 40.6111, Y-Axis: 89.6245
City: St. Charles, IL, X-Axis: 41.9137, Y-Axis: 88.3109
City: Cherry, IL, X-Axis: 41.4266, Y-Axis: 89.2124
City: De Pue, IL, X-Axis: 41.3261, Y-Axis: 89.3012
City: Pekin, IL, X-Axis: 40.5678, Y-Axis: 89.6369
City: Sherman, IL, X-Axis: 39.8922, Y-Axis: 89.6048
City: Coalton, IL, X-Axis: 39.2851, Y-Axis: 89.301
City: Seatonville, IL, X-Axis: 41.3633, Y-Axis: 89.2731
City: Peoria, IL, X-Axis: 40.7207, Y-Axis: 89.6094
City: South Pekin, IL, X-Axis: 40.4927, Y-Axis: 89.6519
City: Bloomingdale, IL, X-Axis: 41.9495, Y-Axis: 88.0826
City: Waterman, IL, X-Axis: 41.771, Y-Axis: 88.7747
City: Elburn, IL, X-Axis: 41.894, Y-Axis: 88.4686
City: Clay City, IL, X-Axis: 38.6869, Y-Axis: 88.3531
City: Hollowayville, IL, X-Axis: 41.365, Y-Axis: 89.2946
City: Farina, IL, X-Axis: 38.833, Y-Axis: 88.7758
City: West Peoria, IL, X-Axis: 40.6971, Y-Axis: 89.631
City: Mendota, IL, X-Axis: 41.5494, Y-Axis: 89.1184
City: Calhoun, IL, X-Axis: 38.6498, Y-Axis: 88.0428
City: Wayne, IL, X-Axis: 41.951, Y-Axis: 88.2572
City: St. Peter, IL, X-Axis: 38.8674, Y-Axis: 88.8519
City: Bureau Junction, IL, X-Axis: 41.2892, Y-Axis: 89.3678
City: Grandview, IL, X-Axis: 39.8169, Y-Axis: 89.6203
City: Bartonville, IL, X-Axis: 40.6454, Y-Axis: 89.6604
City: Roselle, IL, X-Axis: 41.9806, Y-Axis: 88.0854
City: Hanover Park, IL, X-Axis: 41.9788, Y-Axis: 88.1461
City: Mason City, IL, X-Axis: 40.203, Y-Axis: 89.6961
City: Bartlett, IL, X-Axis: 41.9787, Y-Axis: 88.1961
City: Paw Paw, IL, X-Axis: 41.6879, Y-Axis: 88.9826
City: Bingham, IL, X-Axis: 39.1139, Y-Axis: 89.2125
City: Morrisonville, IL, X-Axis: 39.4193, Y-Axis: 89.4573
City: Arlington, IL, X-Axis: 41.4724, Y-Axis: 89.247
City: Bellevue, IL, X-Axis: 40.6882, Y-Axis: 89.6694
City: Shabbona, IL, X-Axis: 41.7674, Y-Axis: 88.8747
City: Witt, IL, X-Axis: 39.2546, Y-Axis: 89.351
City: Cantrall, IL, X-Axis: 39.937, Y-Axis: 89.6766
City: Lily Lake, IL, X-Axis: 41.9424, Y-Axis: 88.4708
City: Flora, IL, X-Axis: 38.6698, Y-Axis: 88.4841
City: Maple Park, IL, X-Axis: 41.9085, Y-Axis: 88.598
City: South Elgin, IL, X-Axis: 41.9923, Y-Axis: 88.3079
City: Springfield, IL, X-Axis: 39.7833, Y-Axis: 89.6504
City: Pawnee, IL, X-Axis: 39.5921, Y-Axis: 89.582
City: Parkersburg, IL, X-Axis: 38.5902, Y-Axis: 88.0557
City: Southern View, IL, X-Axis: 39.7563, Y-Axis: 89.6504
City: Vandalia, IL, X-Axis: 38.9681, Y-Axis: 89.102
City: Streamwood, IL, X-Axis: 42.0206, Y-Axis: 88.1734
City: Schaumburg, IL, X-Axis: 42.0301, Y-Axis: 88.0874
City: Norwood, IL, X-Axis: 40.7068, Y-Axis: 89.6997
City: Virgil, IL, X-Axis: 41.9569, Y-Axis: 88.5257
City: Mapleton, IL, X-Axis: 40.5728, Y-Axis: 89.7282
City: Fillmore, IL, X-Axis: 39.1158, Y-Axis: 89.2771
City: Greenview, IL, X-Axis: 40.0838, Y-Axis: 89.7403
City: Athens, IL, X-Axis: 39.9615, Y-Axis: 89.7246
City: Jerome, IL, X-Axis: 39.768, Y-Axis: 89.6789
City: Kinmundy, IL, X-Axis: 38.7729, Y-Axis: 88.8495
City: Leland Grove, IL, X-Axis: 39.7773, Y-Axis: 89.6843
City: Dunlap, IL, X-Axis: 40.8608, Y-Axis: 89.6781
City: Lee, IL, X-Axis: 41.7942, Y-Axis: 88.941
City: Compton, IL, X-Axis: 41.6942, Y-Axis: 89.086
City: Malden, IL, X-Axis: 41.4248, Y-Axis: 89.3684
City: Cortland, IL, X-Axis: 41.9249, Y-Axis: 88.6931
City: Elgin, IL, X-Axis: 42.0394, Y-Axis: 88.2886
City: La Moille, IL, X-Axis: 41.5292, Y-Axis: 89.2812
City: Hoffman Estates, IL, X-Axis: 42.0632, Y-Axis: 88.1193
City: Manito, IL, X-Axis: 40.4227, Y-Axis: 89.7801
City: Kingston Mines, IL, X-Axis: 40.5581, Y-Axis: 89.772
City: Irving, IL, X-Axis: 39.2057, Y-Axis: 89.4052
City: Rolling Meadows, IL, X-Axis: 42.0762, Y-Axis: 88.0259
City: Dover, IL, X-Axis: 41.4353, Y-Axis: 89.3958
City: Xenia, IL, X-Axis: 38.6379, Y-Axis: 88.636
City: DeKalb, IL, X-Axis: 41.9313, Y-Axis: 88.7502
City: Tiskilwa, IL, X-Axis: 41.2917, Y-Axis: 89.5065
